"Product activation key","Produktaktivierungsschlüssel"
"Add new card details for later purchases","Neue Kartendaten für spätere Käufe hinzufügen"
"Enter new card details","Neue Kartendaten für spätere Käufe hinzufügen"
"Given card details","Eingegebene Kartendaten"
"Enter account details","Neue Kontodaten eingeben"
"Given account details","Eingegebene Kontodaten"
"I want to save my card details for later purchases","Ich möchte meine Kartendaten für spätere Einkäufe speichern"
"Save my PayPal account details for later purchases","Ich möchte meine PayPal-Kontodaten für spätere Einkäufe speichern"
"I want to save my account details for later purchases","Ich möchte meine Kontodaten für spätere Einkäufe speichern"
"Notify Novalnet updates","Benachrichtigung bei Novalnet-Updates"
"Notify, if any, updates available in Novalnet payment module","Benachrichtigung, falls Updates für ein Novalnet-Zahlungsmodul erhältlich sind"
"Send an e-mail using zend/magento template","E-Mail mit Zend-/Magento-Template verschicken"
"Novalnet merchant script log","Log für das Novalnet-Händlerskript"
"If yes, the merchant script log will be created","Wenn ja, wird ein Log für das Händlerskript angelegt"
"Are you sure you want to capture the payment?","Sind Sie sicher, dass Sie die Zahlung einziehen möchten?"
"Order Status Management","Verwaltung des Bestellstatus für ausgesetzte Zahlungen"
"One click shopping","Kauf mit einem Klick"
"NN None","Keiner"
"Date Of Birth","Ihr Geburtsdatum"
"You need to be at least 18 years old","Sie müssen mindestens 18 Jahre alt sein."
"Novalnet callback received. Refund/Bookback executed successfully for the TID: %s amount: %s on %s. The subsequent TID: %s","Novalnet-Callback-Meldung erhalten: Rückerstattung / Bookback erfolgreich ausgeführt für die TID: %s Betrag: %s am %s. TID der Folgebuchung: %s"
"Novalnet callback received. Chargeback executed successfully for the TID: %s amount: %s on %s. The subsequent TID: %s","Novalnet-Callback-Nachricht erhalten: Chargeback erfolgreich importiert für die TID: %s Betrag: %s am %s Uhr. TID der Folgebuchung: %s"
"Novalnet Callback Script executed successfully for the TID: %s with amount %s on %s. Please refer PAID transaction in our Novalnet Merchant Administration with the TID: %s","Novalnet-Callback-Skript erfolgreich ausgeführt für die TID: %s mit dem Betrag %s am , um %s Uhr. Bitte suchen Sie nach der bezahlten Transaktion in unserer Novalnet-Händleradministration mit der TID: %s."
"Novalnet Callback Script executed successfully for the TID: %s with amount %s on %s","Novalnet-Callback-Skript erfolgreich ausgeführt für die TID: %s mit dem Betrag am %s, um %s Uhr"
"Novalnet callback script received. Subscription has been stopped for the TID: %s on %s","Nachricht vom Novalnet-Callback-Skript erhalten: Das Abonnement wurde für die TID: %s am %s, Uhr eingestellt"
"Subscription has been canceled due to: ","Das Abonnement wurde gekündigt wegen: "
"Reference order id: %s","Verwendungszweck Bestellnummer: %s"
"Novalnet Callback Script executed successfully for the subscription TID: %s with amount %s on %s","Novalnet-Callback-Skript erfolgreich ausgeführt für die Abonnements TID: %s mit dem Betrag %s am %s."
"Novalnet Callback Script executed successfully on %s","Novalnet-Callback-Skript erfolgreich ausgeführt am %s"
"Novalnet Callback Script executed successfully for the TID: %s with amount %s on %s","Novalnet-Callback-Skript erfolgreich ausgeführt für die TID: %s mit dem Betrag %s am %s Uhr."
"Payment guarantee configuration","Einstellungen für die Zahlungsgarantie"
"Payment guarantee comments","<b>Grundanforderungen für die Zahlungsgarantie</b><br>Erlaubte B2C-Länder: DE, AT, CH<br>Erlaubte B2B-Länder: Europäische Union<br>Zugelassene Währung: EUR<br>Mindestbetrag der Bestellung: 9.99 EUR<br>Mindestalter: 18 Jahre<br>Rechnungsadresse und Lieferadresse müssen übereinstimmen<br><br>"
"Payment instalment comments","<b>Voraussetzungen für die Ratenzahlung</b><br>Erlaubte B2C-Länder: DE, AT, CH<br>Erlaubte B2B-Länder: Europäische Union<br>Zugelassene Währung: EUR<br>Mindestbetrag der Bestellung: 19.98 EUR<br>Bitte beachten Sie, dass der Betrag einer Rate mindestens 9.99 EUR betragen muss und Raten, die diese Kriterien nicht erfüllen, nicht im Ratenplan angezeigt werden<br>Mindestalter: 18 Jahre<br>Rechnungsadresse und Lieferadresse müssen übereinstimmen<br><br>"
"Enable payment guarantee","Zahlungsgarantie aktivieren"
"Novalnet Minimum order amount","Mindestbestellbetrag (in der kleinsten Währungseinheit, z.B. 100 Cent = entsprechen 1,00 EUR)"
"This setting will override the default setting made in the minimum order amount. Note: Minimum amount should be greater than or equal to 9,99 EUR","Diese Einstellung überschreibt die Standardeinstellung für den Mindest-Bestellbetrag. Anmerkung: der Mindest-Bestellbetrag sollte größer oder gleich 9,99 EUR sein"
"Force Non-Guarantee payment","Zahlung ohne Zahlungsgarantie erzwingen"
"The minimum amount should be at least 9,99 EUR","Der Mindestbetrag sollte bei mindestens 9,99 EUR"
"Form appearance","Darstellung des Formulars"
"Custom CSS Settings","Angepasste CSS-Einstellungen"
"CSS settings for Credit Card fields","CSS-Einstellungen für Felder mit Kreditkartendaten"
"Form fields","Formularfelder"
"NN Label","Beschriftung"
"Input field","Eingabefeld"
"CSS settings for Credit Card iframe","CSS-Einstellungen für den iFrame mit Kreditkartendaten"
"NN Input","Eingabe"
"CSS text","Text für das CSS"
"Proceed with new PayPal account details","Mit neuen PayPal-Kontodetails fortfahren"
"Given PayPal account details","Angegebene PayPal-Kontodetails"
"PayPal transaction ID: %s","PayPal Transaktions-ID: %s"
"In order to use this option you must have billing agreement option enabled in your PayPal account. Please contact your account manager at PayPal.","Um diese Option zu verwenden, müssen Sie die Option Billing Agreement (Zahlungsvereinbarung) in Ihrem PayPal-Konto aktiviert haben. Kontaktieren Sie dazu bitte Ihren Kundenbetreuer bei PayPal."
"Once the order is submitted, the payment will be processed as a reference transaction at Novalnet","Sobald die Bestellung abgeschickt wurde, wird die Zahlung bei Novalnet als Referenztransaktion verarbeitet."
"The payment cannot be processed, because the basic requirements haven’t been met.","Die Zahlung kann nicht verarbeitet werden, weil die grundlegenden Anforderungen nicht erfüllt wurden."
"The transaction has been canceled due to: %s","Die Transaktion wurde storniert. Grund: %s"
"The amount of %s for the order %s has been paid. Please verify received amount and TID details, and update the order status accordingly.","Der Betrag von %s für die Bestellung %s wurde bezahlt. Überprüfen Sie bitten den erhaltenen Betrag und die Details zur TID und aktualisieren Sie den Status der Bestellung entsprechend."
"Created on","Angelegt am"
"Updated on","Aktualisiert am"
"Your credit card details are invalid","Ihre Kreditkartendetails sind ungültig"
"Card holder name","Name des Karteninhabers"
"Name on card","Name auf der Kreditkarte"
"Card number","Kreditkartennummer"
"XXXX XXXX XXXX XXXX","XXXX XXXX XXXX XXXX"
"Expiry date","Ablaufdatum"
"MM / YYYY","MM / YYYY"
"CVC/CVV/CID","CVC/CVV/CID"
"XXX","XXX"
"what is this?","Was ist das?"
"This is processed as a guarantee payment","Diese Transaktion wird mit Zahlungsgarantie verarbeitet"
"Change the due date","Fälligkeitsdatum ändern"
"Transaction due date","Fälligkeitsdatum der Transaktion"
"Change the slip expiry date","Ablaufdatum des Zahlscheins ändern"
"Slip expiry date","Verfallsdatum des Zahlscheins"
"Are you sure you want to change the due date?","Sind Sie sicher, dass Sie das Fälligkeitsdatum ändern möchten?"
"Are you sure you want to change the slip expiry date?","Sind Sie sicher, dass Sie das Ablaufdatum des Zahlscheins ändern wollen?"
"The transaction has been updated with a new due date %s","Die Transaktion wurde aktualisiert. Neues Fälligkeitsdatum: %s."
"The date should be in future","Das Datum sollte in der Zukunft liegen."
"Barzahlen","Barzahlen/viacash"
"Slip expiry date (in days)","Fälligkeitsdatum (in Tagen)"
"paypal onclick description","Zahlungsdaten, die während des Bestellvorgangs gespeichert werden, können für zukünftige Zahlungen verwendet werden.<br>Um diese Option zu verwenden, müssen Sie die Option Billing Agreement (Zahlungsvereinbarung) in Ihrem PayPal-Konto aktiviert haben. Kontaktieren Sie dazu bitte Ihren Kundenbetreuer bei PayPal."
"Cashpayment duration description","Anzahl der Tage, die der Käufer Zeit hat, um den Betrag in einer Filiale zu bezahlen. Wenn Sie dieses Feld leer lassen, ist der Zahlschein standardmäßig 14 Tage lang gültig"
"Slip expiry date: %s","Verfallsdatum des Zahlscheins: %s"
"Store(s) near you:","Barzahlen-Partnerfiliale in Ihrer Nähe:"
"Pay now with Barzahlen","Bezahlen mit Barzahlen"
"DD/MM/YYYY","TT.MM.JJJJ"
"Please enter valid birthdate","Geben Sie ein gültiges Geburtsdatum ein"
"The transaction has been confirmed successfully for the TID: %s and the due date updated as %s","Die Transaktion mit der TID: %s wurde erfolgreich bestätigt und das Fälligkeitsdatum auf %s gesetzt."
"Novalnet callback received. The transaction has been confirmed successfully for the TID: %s and the due date updated as %s","Novalnet-Callback-Meldung erhalten: Die Transaktion mit der TID: %s wurde erfolgreich bestätigt und das Fälligkeitsdatum auf %s gesetzt."
"Enter the Novalnet Product activation key that is required for authentication and click Activate. You will find the Product activation key in the <a href='https://admin.novalnet.de/' target='_blank'>Novalnet Admin Portal</a>: PROJECT > Choose your project > Shop Parameters > API Signature (Product activation key).","Geben Sie den Novalnet-Produktaktivierungsschlüssel ein, der für die Authentifizierung erforderlich ist, und klicken Sie auf Aktivieren. Den Produktaktivierungsschlüssel finden Sie im <a href='https://admin.novalnet.de/' target='_blank'>Novalnet Admin-Portal</a> > PROJEKT > Wählen Sie Ihr Projekt > Parameter Ihres Shops > API-Signature (Aktivierungsschlüssel des Produkts)."
"Novalnet callback received. The transaction has been confirmed on %s","Novalnet-Callback-Meldung erhalten: Die Buchung wurde am %s Uhr bestätigt"
"Novalnet callback received. The transaction has been canceled on %s","Novalnet-Callback-Meldung erhalten: Die Transaktion wurde am %s Uhr storniert"
"Your order is under verification and once confirmed, we will send you our bank details to where the order amount should be transferred. Please note that this may take upto 24 hours.","Ihre Bestellung ist unter Bearbeitung. Sobald diese bestätigt wurde, erhalten Sie alle notwendigen Informationen zum Ausgleich der Rechnung. Wir bitten Sie zu beachten, dass dieser Vorgang bis zu 24 Stunden andauern kann."
"Your order is under verification and we will soon update you with the order status. Please note that this may take upto 24 hours.","Ihre Bestellung wird derzeit überprüft. Wir werden Sie in Kürze über den Bestellstatus informieren. Bitte beachten Sie, dass dies bis zu 24 Stunden dauern kann."
"The transaction has been updated with slip expiry date %s","Das Ablaufdatum des Belegs wurde für die Transaktion auf den %s gesetzt"
"Novalnet callback received. The transaction has been canceled on %s","Novalnet-Callback-Nachricht erhalten: Die Transaktion wurde am %s Uhr storniert"
"Novalnet callback received. The transaction status has been changed from pending to on hold for the TID: %s on %s.","Novalnet-Callback-Nachricht erhalten: Der Status der Transaktion mit der TID: %s wurde am %s Uhr  von ausstehend auf ausgesetzt geändert."
"Novalnet callback script received. Subscription has been reactivated for the TID: %s on %s.","Novalnet-Callback-Nachricht erhalten: Das Abonnement wurde für die TID: %s  reaktiviert, am %s Uhr."
"Novalnet callback script received. Subscription payment has been changed from %s to %s on %s.","Novalnet callback script received. Subscription payment has been changed from %s to %s on %s."
"Minimum amount should be greater than or equal to 9,99 EUR","Der Mindest-Bestellbetrag sollte größer oder gleich 9,99 EUR sein"
"payment guarantee","Zahlungsgarantie"
"instalment payment","Ratenzahlung"
"Only DE, CH countries allowed %s","Die Zahlung kann nicht verarbeitet werden, da die grundlegenden Anforderungen für die %s nicht erfüllt wurden (Als Land ist nur Deutschland, Österreich oder Schweiz erlaubt)"
"Minimum order amount should be %s %s","Die Zahlung kann nicht verarbeitet werden, da die grundlegenden Anforderungen für die %s nicht erfüllt wurden (Mindestbestellmenge sollte %s EUR sein)"
"Only EUR currency allowed %s","Die Zahlung kann nicht verarbeitet werden, da die grundlegenden Anforderungen für die %s nicht erfüllt wurden (Als Währung ist nur EUR erlaubt)"
"The shipping address should be the same as the billing address %s","Die Zahlung kann nicht verarbeitet werden, da die grundlegenden Anforderungen für die %s nicht erfüllt wurden (Die Lieferadresse muss mit der Rechnungsadresse übereinstimmen)"
"Instalment by Invoice"," Ratenzahlung per Rechnung"
"Instalment by Direct Debit SEPA","Ratenzahlung per SEPA-Lastschrift"
"Recurring Period for the instalment cycles","Zahlungsrhythmus für die einzelnen Raten"
"On choosing an appropriate recurring period, each instalment cycle will be processed based on that","Wählen Sie einen passenden Zeitraum zwischen den zu zahlenden Raten aus"
"Instalment cycles","Anzahl der Raten"
"Choose your instalment plan","Wählen Sie Ihren Ratenplan"
"Choose the financing option that best fits your needs and you will be charged based on that chosen plan","Wählen Sie die Finanzierungsoption, die Ihren Bedürfnissen am besten entspricht. Die Raten werden Ihnen entsprechend dem gewählten Ratenplan berechnet"
"Net loan amount: ","Netto-Kreditbetrag: "
" cycles"," Raten"
"Instalment Information"," Information zu den Raten"
"Processed Instalments","Bezahlte Raten"
"Due Instalments","Offene Raten"
"Next Instalment Date","Nächste Rate fällig am"
"Instalment Cycle Amount","Betrag jeder Rate"
"Total paid amount","Bezahlt gesamt"
"Total due amount","Offen gesamt"
"Paid instalments","Bezahlte Raten"
"Instalment Summary","Zusammenfassung"
"Paid Date","Bezahlt am"
"The next instalment cycle have arrived for the instalment order %orderNo placed at the %store_name, kindly refer further details below.","Für Ihre Bestellung Nr. %orderNo bei %store_name ist die nächste Rate fällig. Bitte beachten Sie weitere Details unten."
"I hereby grant the mandate for the SEPA direct debit","Ich erteile hiermit das SEPA-Lastschriftmandat"
"(electronic transmission)","(elektronische Übermittlung)"
"and confirm that the given bank details are correct!","und bestätige, dass die Bankverbindung korrekt ist."
"I authorise (A) Novalnet AG to send instructions to my bank to debit my account and (B) my bank to debit my account in accordance with the instructions from Novalnet AG.","Ich ermächtige den Zahlungsempfänger, Zahlungen von meinem Konto mittels Lastschrift einzuziehen. Zugleich weise ich mein Kreditinstitut an, die von dem Zahlungsempfänger auf mein Konto gezogenen Lastschriften einzulösen."
"Creditor identifier: DE53ZZZ00000004253","Gläubiger-Identifikationsnummer: DE53ZZZ00000004253"
"Note:","Hinweis:"
"You are entitled to a refund from your bank under the terms and conditions of your agreement with bank. A refund must be claimed within 8 weeks starting from the date on which your account was debited.","Ich kann innerhalb von acht Wochen, beginnend mit dem Belastungsdatum, die Erstattung des belasteten Betrages verlangen. Es gelten dabei die mit meinem Kreditinstitut vereinbarten Bedingungen."
"The instalment amount for this cycle %s %s will be debited from your account in one - three business days.","Die nächste Rate in Höhe von %s %s wird in ein bis drei Werktagen von Ihrem Konto abgebucht."
"The next instalment cycle have arrived for the instalment order %orderNo placed at the %store_name, kindly refer further details below.","Für Ihre Bestellung Nr. %orderNo bei %store_name ist die nächste Rate fällig. Bitte beachten Sie weitere Details unten."
"Please enter the refund amount","Geben Sie bitte den erstatteten Betrag ein"
"(in minimum unit of currency. E.g. enter 100 which is equal to 1.00)","(in der kleinsten Währungseinheit, z.B. 100 Cent = entsprechen 1,00 EUR)"
"Refund","Rückerstattung"
" Cycles / "," Raten / "
"Month","Monat"
"Months","Monate"
" Every %s months"," pro %s Monate"
" Every month"," pro Monat"
"Reference","Verwendungszweck"
"Paid","Bezahlt"
"Pending","Ausstehend"
"Cancel","Stornieren"
"Every month","pro Monat"
"Every 2 months"," pro 2 Monate"
"Every 3 months"," pro 3 Monate"
"Every 4 months"," pro 4 Monate"
"Every 6 months"," pro 6 Monate"
"Instalment confirmation %s Order no: %s","Für Ihren Einkauf bei %s, Bestellnr. %s, ist die nächste Rate fällig."
"Authorize","Zahlung autorisieren"
"Capture","Zahlung einziehen"
"Payment Action","Bearbeitungsmaßnahme"
"Products remain in the shopping cart after cancelled payment","Produkte im Warenkorb nach Abbruch des Zahlungsvorgangs wiederherstellen"
"Your Novalnet Merchant details are now updated. Click the","Ihre Novalnet-Händlerdaten sind nun aktualisiert. Klicken Sie auf "
"button to complete the configuration & save all changes!",", um die Konfiguration abzuschließen und alle Änderungen zu speichern."
"Activate"," Aktivieren"
"Instalment number","Ratenzahl"
"Instalment payment date","Datum der Ratenzahlung"
"Monthly instalment amount","Monatlich fällige Rate"
"Instalment","Ratenzahlung"
"Card type not accepted, try using another card type","Kartentyp wird nicht akzeptiert, versuchen Sie es mit einem anderen Kartentyp"
"Allow manual testing of the Notification / Webhook URL","Deaktivieren Sie die IP-Adresskontrolle (nur zu Testzwecken)"
"Enable this to test the Novalnet Notification / Webhook URL manually. Disable this before setting your shop live to block unauthorized calls from external parties","Aktivieren Sie diese Option, um die Novalnet-Benachrichtigungs-/Webhook-URL manuell zu testen. Deaktivieren Sie die Option, bevor Sie Ihren Shop liveschalten, um unautorisierte Zugriffe von Dritten zu blockieren"
"Send e-mail to","E-Mails senden an"
"Notification / Webhook URL","Benachrichtigungs- / Webhook-URL"
"Notification / Webhook URL is required to keep the merchant’s database/system synchronized with the Novalnet account (e.g. delivery status). Refer the Installation Guide for more information","Eine Benachrichtigungs- / Webhook-URL ist erforderlich, um die Datenbank / das System des Händlers mit dem Novalnet-Account synchronisiert zu halten (z.B. Lieferstatus). Weitere Informationen finden Sie in der Installationsanleitung"
"Notification / Webhook URL Setup","Benachrichtigungs- / Webhook-URL festlegen"
"Sort order of display. Lowest is displayed first.","Die Zahlungsarten werden in Ihrem Checkout anhand der von Ihnen vorgegebenen Sortierreihenfolge angezeigt (in aufsteigender Reihenfolge)"
"If the payment guarantee is activated (True), but the above mentioned requirements are not met, the payment should be processed as non-guarantee payment.","Falls die Zahlungsgarantie zwar aktiviert ist, jedoch die Voraussetzungen für Zahlungsgarantie nicht erfüllt sind, wird die Zahlung ohne Zahlungsgarantie verarbeitet. Die Voraussetzungen finden Sie in der Installationsanleitung unter 'Zahlungsgarantie aktivieren'"
"Select the various instalment cycles that can be availed in the instalment plan","Wählen Sie die Anzahl der Raten aus."
"one click payment description","Zahlungsdaten, die während des Bestellvorgangs gespeichert werden, können für zukünftige Zahlungen verwendet werden"
